hbid_id,hbid_id_ds,basin_name,hbid_name,catchment,catchment_,area_km2,country,brazil_UF,basin_ID
5035,5030,Amazon,Paru,c5035,c5030,39645.43039625141,Brazil,PA,Main_AMZ
5038,5036,Amazon,Jari 2,c5038,c5036,30262.182006834566,Brazil,AP,Main_AMZ
5042,5041,Amazon,Riozinho,c5042,c5041,21496.955198062707,Brazil,PA,Tapajos
4019,4017,"Northeast South America, South Atlantic Coast",Coeroeni,c4019,c4017,16612.660545033064,Suriname,PA,AMZ_OTCA
5071,5066,Amazon,Trombetas 2,c5071,c5066,39000.79457364037,Brazil,PA,Trombetas
5080,5077,Amazon,Aripuana 1,c5080,c5077,17237.88408216437,Brazil,AM,Madeira
5104,5103,Amazon,Parapeti,c5104,c5103,42498.32880594653,Bolivia,,Madeira
5117,5115,Amazon,Grande 1,c5117,c5115,38067.32322810013,Bolivia,,Madeira
5121,5117,Amazon,Grande 2,c5121,c5117,10458.755672989726,Bolivia,,Madeira
5123,5121,Amazon,Grande 3,c5123,c5121,11440.999373338496,Bolivia,,Madeira
5135,5134,Amazon,Inambari,c5135,c5134,19839.008662461918,Peru,,Madeira
5140,5139,Amazon,Kaka,c5140,c5139,21399.004877493215,Bolivia,,Madeira
5141,5139,Amazon,Alto Beni,c5141,c5139,18720.531612465107,Bolivia,,Madeira
5142,5141,Amazon,Boopi,c5142,c5141,12929.45819413515,Bolivia,,Madeira
5163,5161,Amazon,Purus 2,c5163,c5161,23478.05154104495,Brazil,AM,Purus
5167,5163,Amazon,Mucuim,c5167,c5163,13577.901028766722,Brazil,AM,Purus
5191,5190,Amazon,Mucajai,c5191,c5190,20267.92987926792,Brazil,RR,Negro
5193,5192,Amazon,Uraricoera,c5193,c5192,49598.120387344396,Brazil,RR,Negro
5194,5192,Amazon,Surumu,c5194,c5192,12675.904045323741,Brazil,RR,Negro
5199,5181,Amazon,Demini,c5199,c5181,22935.014306699402,Brazil,AM,Negro
5212,5205,Amazon,Casiquiare,c5212,c5205,9875.48812272158,Venezuela,,Negro
